"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"292","adenomera andreae",-48.4384,-1.45,NA,NA,"6080c213-6d46-4df0-ad61-04e356a64d57","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"293","leptodactylus ocellatus",-39.03333,-14.81667,NA,NA,"dd0d1a40-c5ee-4d93-b948-972f15192d5d","species",4615,1944,"preservedspecimen","cas","Leptodactylus_ocellatus"
"294","leptodactylus petersii (steindachner, 1864)",-55.63333,-4.06667,NA,1,"0803272e-e1aa-4f04-9c63-62abee25e733","species",4115,1973,"preservedspecimen","mcz","Leptodactylus_petersii"
"295","leptodactylus podicipinus",-50.937,-14.1826,NA,NA,"0859d39b-7d40-4883-afb1-59ceedf04aaf","species",497657,1939,"preservedspecimen","cas","Leptodactylus_podicipinus"
"296","leptodactylus labyrinthicus",-35.42411667,-5.641383333,NA,NA,"0a7eafe0-c0d1-40b1-aa06-5442b5f62de6","species",NA,1911,"preservedspecimen","cas","Leptodactylus_labyrinthicus"
"297","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"0228506a-6162-4133-85fe-a85e238443e7","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"298","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"141d2312-3a39-46ec-9a9e-a8206097264b","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"299","leptodactylus macrosternum",-60.63996,2.84353,NA,NA,"1bd6d661-8364-43dc-a8ef-090924ca9340","species",6765,1993,"preservedspecimen","omnh","Leptodactylus_macrosternum"
"300","leptodactylus fuscus",-57.65,-19.01,NA,1,"1f674566-038a-4502-8a08-94a9e91d2a77","species",5865,1954,"preservedspecimen","cm","Leptodactylus_fuscus"
"301","leptodactylus ocellatus",-40.6,-19.91667,NA,NA,"20bca0df-f3f4-427c-9503-9ec404404278","species",11115,1942,"preservedspecimen","cas","Leptodactylus_ocellatus"
"302","leptodactylus ocellatus",-58.44693056,-3.144305556,NA,NA,"26656d41-75bc-491e-9b3b-473b328f3dd8","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
"303","leptodactylus ocellatus",-51.2,-30.03,NA,1,"2853f32c-9383-4a97-82ba-3480708e7621","species",10115,1966,"preservedspecimen","cm","Leptodactylus_ocellatus"
"304","adenomera andreae",-48.4384,-1.45,NA,NA,"5700beee-86e3-4024-828d-8b4193d66009","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"305","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"59c2e870-6367-4626-959d-d36cd233ce5a","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"306","adenomera andreae",-48.45637,-1.45,NA,NA,"5d8fc1c1-524c-4763-8041-8895446e6e9a","species",NA,1970,"preservedspecimen","ku","Adenomera_andreae"
"307","leptodactylus ocellatus",-47.37827,-24.2636,NA,1,"0f92fecf-5297-46ca-9960-0b7afae5b885","species",4605,1981,"preservedspecimen","mvz","Leptodactylus_ocellatus"
"308","adenomera hylaedactyla",-69.913333,-4.229444,NA,NA,"d59b9281-6f61-42c0-ab99-5c5ccd433e9d","species",NA,2016,"preservedspecimen","unicamp","Adenomera_hylaedactyla"
"309","adenomera hylaedactyla",-69.913333,-4.229444,NA,NA,"fbff2b39-c7b0-4cc8-aebf-05359616d3c7","species",NA,2016,"preservedspecimen","unicamp","Adenomera_hylaedactyla"
"310","adenomera andreae",-48.4384,-1.45,NA,NA,"c5f7e2bd-e91d-4c94-8068-9ed7f637c839","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"311","hylodes pulcher",-44.56667,-22.5,NA,NA,"9478ddd3-dee7-4edc-855e-4bec0baf3aa2","",6115,1949,"preservedspecimen","cas","Hylodes_pulcher"
