"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"1","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"0fd28cb4-60ca-4461-b706-c6e7b66853af","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"2","leptodactylus fuscus",-56.4166667,-14.8333333,NA,NA,"267351ac-a6cf-466e-a95d-c13589d089b8","species",NA,1963,"preservedspecimen","ku","Leptodactylus_fuscus"
"3","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"15d6ebdf-70f4-4b73-aeb6-24a18d5e93d4","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"4","leptodactylus troglodytes",-38.71905278,-3.888611111,NA,NA,"17d1fd3e-c20b-48eb-afa6-e97f56efc288","species",NA,1911,"preservedspecimen","cas","Leptodactylus_troglodytes"
"5","adenomera hylaedactyla",-59.59361,-4.38889,NA,NA,"0bd870d1-ee21-4182-a13a-c7a7ada6d4e3","species",3865,1943,"preservedspecimen","cas","Adenomera_hylaedactyla"
"6","adenomera hylaedactyla",-59.7333,-3.0833,NA,1,"9fcd42d3-121b-4103-9fd9-3203c8b9bfc9","species",21365,1968,"preservedspecimen","lacm","Adenomera_hylaedactyla"
"7","leptodactylus ocellatus",-44.975706,-12.364373,NA,1,"a48f3c60-b925-48ac-9ad1-aa513a139d2c","species",3036,1942,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"8","leptodactylus leptodactyloides (andersson, 1945)",-66.56667,-2.46667,NA,1,"8aa0e32e-bcc3-4237-bb05-2e443b68c5c4","species",87144,1976,"preservedspecimen","mcz","Leptodactylus_leptodactyloides"
"9","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"771dc44d-2239-4ff6-a555-fc50de29f5e7","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"10","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"83e30153-e62c-4535-8e10-ff16670d1771","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"11","leptodactylus ocellatus",-35.25378889,-5.775980556,NA,NA,"84bd4fba-cc69-43fd-999f-fe32aa8dbe31","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
"12","leptodactylus fuscus",-63.18339,-4.10944,NA,1,"89e88cc5-e7fe-4d07-b44a-99931f21cc0a","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_fuscus"
"13","leptodactylus latrans",-48.45637,-1.45,NA,NA,"baca62d9-6a13-4e64-b58e-7d3bf8dd8b58","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"14","leptodactylus ocellatus",-40.6,-19.91667,NA,NA,"a54226a6-c718-46af-953b-c60d9263c5fe","species",11115,1942,"preservedspecimen","cas","Leptodactylus_ocellatus"
"15","leptodactylus fuscus",-61.18582,1.55,NA,NA,"a5b5a67a-daf8-4f76-9e6f-fe1b37eeb7a2","species",7875,1993,"preservedspecimen","omnh","Leptodactylus_fuscus"
"16","leptodactylus rhodomystax",-48.4384,-1.45,NA,NA,"a63e5d8c-97cf-4589-88fa-ce9cfed380ff","species",NA,1969,"preservedspecimen","ku","Leptodactylus_rhodomystax"
"17","leptodactylus pentadactylus",-47.35,-21.91,NA,1,"a70fd91f-273d-4bcd-8e7f-1b6334b82f75","species",8115,1950,"preservedspecimen","cm","Leptodactylus_pentadactylus"
"18","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"aa51bc3b-1361-4b92-ab0e-806de1dec6c1","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"19","physalaemus fuscomaculatus",-46.722187,-23.564165,NA,1,"ae3b2304-cf93-420b-89a3-f4d79b5a1a18","species",2194,NA,"preservedspecimen","ummz","Physalaemus_fuscomaculatus"
"20","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"af897632-ee4e-411f-b48e-36f2adab689b","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"21","leptodactylus ocellatus",-44.997909,-12.142527,NA,8,"e4274ee5-aaee-4fb0-acad-fcda56637bdb","species",6102,1942,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"22","adenomera andreae",-52.05,0.98333,NA,1,"dcfcf6f5-6689-4a76-a26e-26e34f7091d9","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"23","leptodactylus pentadactylus",-44.997652,-12.146051,NA,1,"c6b5ca1a-d2a6-47f3-b86e-6209043e4a43","species",10295,1942,"preservedspecimen","ummz","Leptodactylus_pentadactylus"
"24","vanzolinius discodactylus",-70.03333,-4.36667,NA,NA,"d5f8f183-9503-468c-857c-b4beb796fb03","species",3865,NA,"preservedspecimen","cas","Vanzolinius_discodactylus"
"25","physalaemus fuscomaculatus",-50.2,-30.18,NA,1,"d8511872-c3b4-4898-85d8-a3e4dcc69704","species",7615,1966,"preservedspecimen","cm","Physalaemus_fuscomaculatus"
"26","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"da4343b0-c702-4f0a-a4da-e9b85358f7b4","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"27","leptodactylus ocellatus",-43.88333,-19.63333,NA,NA,"525d6752-dc19-4db1-b4af-53f529648fb7","species",7865,1942,"preservedspecimen","cas","Leptodactylus_ocellatus"
"28","leptodactylus podicipinus podicipinus",-57.65,-19.01,NA,1,"56565136-3f47-4905-9684-732877e719ac","species",5865,1954,"preservedspecimen","cm","Leptodactylus_podicipinus"
"29","adenomera hylaedactyla",-59.59361,-4.38889,NA,NA,"5681bc14-765c-449f-a1e0-c7f1f354bf89","species",3865,1943,"preservedspecimen","cas","Adenomera_hylaedactyla"
"30","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"32071bbc-5480-4f49-bf20-27fea4f4b212","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"31","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"33cdfa8b-d626-4b9f-9aab-6500aa100e10","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"32","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"34275caf-6374-40a6-9fdc-0fd9883990a4","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"33","leptodactylus fuscus",-55.7499962,-15.4333324,NA,NA,"2e764a15-5038-4b2b-bce7-d0cfc5b9047c","species",7605,NA,"preservedspecimen","omnh","Leptodactylus_fuscus"
"34","leptodactylus latrans",-48.45637,-1.45,NA,NA,"45b0c8b9-5b93-4962-9c26-1ab95d4c6882","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"35","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"5f2bccc6-d277-483b-859c-28360c9074f0","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"36","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"63764f0a-17fa-4c8f-8e2f-1c94aa0d06a5","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"37","leptodactylus petersii",-56.6708,-1.1886,NA,1,"f3c51ba1-4e04-4055-8695-a3b19020f0dd","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_petersii"
"38","adenomera marmorata",-45.83,-23.63,NA,1,"9f0aca46-b71f-4815-9bbb-8c9cdf507fb8","species",NA,1975,"preservedspecimen","usnm","Adenomera_marmorata"
"39","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"a13a1d56-d008-4015-8474-2be7c2d80356","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"40","leptodactylus ocellatus",-49.25,-25.4167,NA,1,"9efc7853-cb03-4cc7-839c-54275e908a10","species",11990,1963,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"41","leptodactylus fuscus",-59.3667,-15.191,NA,1,"cec712bf-4e7f-4a58-b279-e72c6f4410d1","species",35052,1985,"preservedspecimen","usnm","Leptodactylus_fuscus"
"42","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"f098b4a9-c8ce-488a-b3ce-6c7eb30605bd","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"43","leptodactylus fuscus",-62.88,-7.07,NA,1,"c2406987-9a0f-4542-830c-3965d129013e","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"44","leptodactylus notoaktites",-47.7,-21.6,NA,1,"f7ea7601-b420-4c89-94b9-f8fe1e78f1fb","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_notoaktites"
"45","adenomera andreae",-48.4384,-1.45,NA,NA,"f6919c46-2791-4a60-bb4e-c98bd7474806","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"46","leptodactylus pentadactylus",-54.7,-2.60697,NA,1,"f77bea4b-a282-4bbb-be9a-1f2e39d99dff","species",15696,1955,"preservedspecimen","lacm","Leptodactylus_pentadactylus"
"47","leptodactylus podicipinus",-61.7,-6.03,NA,1,"21197557-71db-416b-953e-0b6bc43f4fef","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"48","adenomera marmorata",-48.93,-26.2,NA,1,"0fff5a71-2159-4af4-aeab-9bb88bc597dc","species",6115,1978,"preservedspecimen","usnm","Adenomera_marmorata"
"49","leptodactylus mystaceus",-56.6708,-1.1886,NA,1,"db1cfd53-dd6f-4c08-8a14-850196573097","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_mystaceus"
"50","leptodactylus troglodytes",-35.2167,-5.78333,NA,1,"e40051a5-7121-4836-8553-1291ffc11e2b","species",4615,NA,"preservedspecimen","usnm","Leptodactylus_troglodytes"
"51","adenomera bokermanni",-42.9833,-22.4333,NA,1,"3154c5c8-a0a7-4928-aca8-1f91049f8700","species",6915,NA,"preservedspecimen","usnm","Adenomera_bokermanni"
"52","adenomera andreae",-48.4833,-1.45,NA,1,"52ef1caa-839e-454e-8fb0-dea587dc4a23","species",6115,1964,"preservedspecimen","usnm","Adenomera_andreae"
"53","leptodactylus podicipinus",-52.35,-14.6667,NA,1,"1332f620-4f17-4cfa-bcac-9446d89cf562","species",367615,NA,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"54","adenomera andreae",-56.6708,-1.1886,NA,1,"fa35db27-6ec2-43eb-bdd9-8a0b39811c45","species",30740,1979,"preservedspecimen","usnm","Adenomera_andreae"
"55","leptodactylus fuscus",-56.6944,-20.1319,NA,1,"cbc88dfe-b19b-4bf8-ae77-0bcabc42275a","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_fuscus"
"56","leptodactylus mystaceus",-56.6708,-1.1886,NA,1,"b9a5df06-7954-4974-a83b-e7df461c11da","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_mystaceus"
"57","adenomera hylaedactyla",-55.78,-15.42,NA,1,"995d540a-725f-478f-994f-81f3cca344e3","species",NA,1996,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"58","adenomera hylaedactyla",-63.45,-9.62,NA,1,"30163196-a4d1-499b-8282-e837f7787d44","species",NA,1984,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"59","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"00491b8a-cbdc-4aa7-acf4-4849043e15c0","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"60","leptodactylus ocellatus",-44.9333,-17.35,NA,1,"d21fdd9c-e991-4499-b4ba-2cc3e439e7c5","species",4115,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"61","leptodactylus fuscus",-60.67,2.82,NA,1,"a1a43c69-4473-427c-81c0-1a47218d9353","species",NA,1989,"preservedspecimen","usnm","Leptodactylus_fuscus"
"62","leptodactylus leptodactyloides",-52.67,-3.9,NA,1,"2bdd25bd-73fd-43e3-9280-66ede99b03b4","species",NA,1986,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"63","leptodactylus petersii",-59.58,-4.42,NA,1,"a1ae6450-eee2-4830-aaa9-e1b8b21f9070","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_petersii"
"64","leptodactylus fuscus",-45.83,-23.63,NA,1,"7f97fd9d-17fe-4e4a-9346-b618125a7a6e","species",NA,1977,"preservedspecimen","usnm","Leptodactylus_fuscus"
"65","leptodactylus ocellatus",-45.83,-23.63,NA,1,"f71094fe-bd89-4c2f-99e5-4605a7ce8d10","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"66","leptodactylus mystaceus",-55.9833,-4.28333,NA,1,"19a8ca5c-6fd9-49ae-96ea-d2e62f200909","species",4865,1979,"preservedspecimen","usnm","Leptodactylus_mystaceus"
"67","leptodactylus fuscus",-63.13,-9.72,NA,1,"3bc68fb9-a85f-428d-a41d-edb6814ba170","species",17615,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"68","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"df0eb0b9-71fa-4ade-9805-730e58ab68fa","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"69","adenomera andreae",-55.9833,-4.28333,NA,1,"c5b283aa-f6c2-4cb8-83d7-63a2bb2195ec","species",4865,1981,"preservedspecimen","usnm","Adenomera_andreae"
"70","adenomera marmorata",-45.83,-23.63,NA,1,"0c588fe8-52b3-4170-ae5d-a8514ce1db3d","species",NA,1984,"preservedspecimen","usnm","Adenomera_marmorata"
"71","leptodactylus podicipinus",-61.7,-6.03,NA,1,"a3a7b69c-dad2-48fd-9922-84c9b9bfdda2","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"72","leptodactylus leptodactyloides",-63.2167,-10.2333,NA,1,"e862aee9-8a4b-4b17-9b53-e4426a8bf697","species",25115,1984,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"73","leptodactylus bufonius",-41.331667,-12.807778,NA,NA,"2ce5e188-fcf1-45f9-a676-13c2db069cb0","species",NA,1968,"preservedspecimen","unicamp","Leptodactylus_bufonius"
"74","leptodactylus fuscus",-62.88,-7.07,NA,1,"53991703-51d9-46af-88f4-935969f660d1","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"75","leptodactylus gracilis",-48.7667,-27.6833,NA,1,"61a0294b-0956-467e-a606-8d547d151357","species",27615,1979,"preservedspecimen","usnm","Leptodactylus_gracilis"
"76","leptodactylus leptodactyloides",-66.97,-7.67,NA,1,"cf162f79-5965-42d4-9243-f0f9f5feeda9","species",NA,1974,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"77","leptodactylus discodactylus",-66.23,-3.28,NA,1,"3c86d2c2-c642-472f-9514-ad89cbc5f715","species",NA,1992,"preservedspecimen","usnm","Leptodactylus_discodactylus"
"78","leptodactylus cunicularius",-43.65,-19,NA,1,"9981d7bb-4e2a-43fe-95f2-12fd0b061591","species",22615,1980,"preservedspecimen","usnm","Leptodactylus_cunicularius"
"79","leptodactylus knudseni",-61.57,-11.15,NA,23,"ed188ec0-9ee5-48df-9883-abd37a974331","species",NA,1984,"preservedspecimen","usnm","Leptodactylus_knudseni"
"80","adenomera andreae",-55.9833,-4.28333,NA,1,"ba9d95dc-5fe2-4a0c-8772-5a0ea3b6d484","species",4865,1979,"preservedspecimen","usnm","Adenomera_andreae"
"81","leptodactylus jolyi",-46.3167,-23.7833,NA,1,"ce529732-6a6f-4505-95c1-51892335ed8d","species",8865,1973,"preservedspecimen","usnm","Leptodactylus_jolyi"
"82","leptodactylus podicipinus",-61.7,-6.03,NA,1,"fef1359f-4f56-4e9d-a9f7-8205c1a3cba1","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"83","adenomera marmorata",-43.35,-22.9167,NA,1,"3d9ce563-ea23-445b-9543-8792bdcc4738","species",8115,NA,"preservedspecimen","usnm","Adenomera_marmorata"
"84","leptodactylus petersii",-61.37,-3.9,NA,1,"aa22aaee-61ac-4d71-a1de-ac58348a0ba3","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_petersii"
"85","leptodactylus furnarius",-44.75,-22.5667,NA,1,"21cacf53-bdac-4438-ba01-3bffd980f117","species",28615,NA,"preservedspecimen","usnm","Leptodactylus_furnarius"
"86","leptodactylus podicipinus",-61.7,-6.03,NA,1,"0324f9ad-7a19-4686-9c2e-99e078b6368d","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"87","leptodactylus mystaceus",-55.9833,-4.28333,NA,1,"0a8c0c3c-f999-4573-9fde-b5702b42bf5d","species",4865,1981,"preservedspecimen","usnm","Leptodactylus_mystaceus"
"88","leptodactylus labyrinthicus",-43.9333,-19.9167,NA,1,"cb694f55-b3f3-462d-a0af-c26b2f901419","species",9115,NA,"preservedspecimen","usnm","Leptodactylus_labyrinthicus"
"89","leptodactylus fuscus",-61.57,-11.15,NA,1,"1024aba0-249b-4d98-a80f-0fc55ceb7dc5","species",NA,1984,"preservedspecimen","usnm","Leptodactylus_fuscus"
"90","adenomera hylaedactyla",-62.57,-10.67,NA,1,"b67775d5-5336-42b6-9fc8-161f726a7fb5","species",NA,1984,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"91","leptodactylus ocellatus",-43.2333,-22.9,NA,1,"adc1dde5-b488-46a5-b83f-d54c568644f7","species",15115,1925,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"92","leptodactylus fuscus",-45.83,-23.63,NA,1,"fbad048f-a8e9-4b43-bceb-4927734a52b7","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_fuscus"
"93","leptodactylus knudseni",-55.9833,-4.28333,NA,10,"158ed236-b9a2-4416-81bd-69e6c4b9f832","species",4865,1979,"preservedspecimen","usnm","Leptodactylus_knudseni"
"94","adenomera hylaedactyla",-56.6708,-1.1886,NA,1,"fed8a83f-a610-4a00-af82-8fcbdcb10a6a","species",30740,1979,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"95","leptodactylus petersii",-56.6708,-1.1886,NA,1,"73dbc9af-bc36-4bd9-951a-21999aad10b7","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_petersii"
"96","leptodactylus mystacinus",-44.65,-22.82,NA,1,"54552691-5c58-43de-b4fc-ee373fdad430","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_mystacinus"
"97","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"ddcca956-467e-4c7e-a615-4ab6d94411fb","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"98","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"cccf479f-14b8-44ac-be5a-4f0b9e32e90e","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"99","leptodactylus didymus",-68.5167,-10.65,NA,1,"21df0901-8a59-4502-84fc-6d55d7ddd38a","species",20930,1991,"preservedspecimen","usnm","Leptodactylus_didymus"
"100","leptodactylus petersii",-63,-7.4,NA,1,"f2961ef2-dac3-4786-956a-4b8fe80e730e","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_petersii"
"101","leptodactylus furnarius",-44.75,-22.5667,NA,1,"feecbf6d-6579-4538-8e34-e056c1705028","species",28615,1925,"preservedspecimen","usnm","Leptodactylus_furnarius"
"102","adenomera andreae",-56.6708,-1.1886,NA,1,"de4788bc-7f3c-431d-acbc-e149ea05e621","species",30740,1979,"preservedspecimen","usnm","Adenomera_andreae"
"103","adenomera hylaedactyla",-55.78,-15.42,NA,1,"af4b6675-ed42-470c-895c-71319608ca62","species",NA,1996,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"104","leptodactylus fuscus",-59.3667,-15.1819,NA,1,"4d3a6183-2ccd-4f10-a847-6e6001ed3cb4","species",35366,1985,"preservedspecimen","usnm","Leptodactylus_fuscus"
"105","adenomera andreae",-55.9833,-4.28333,NA,1,"58b68cf5-d5a8-41c0-882d-4e748fa882fb","species",4865,1979,"preservedspecimen","usnm","Adenomera_andreae"
"106","leptodactylus podicipinus",-56.8,-17.3333,NA,1,"d7439acf-1aec-4cc0-8246-0f90885fa978","species",10115,1985,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"107","leptodactylus ocellatus",-56.8,-17.3333,NA,1,"c10d4b6c-110c-4953-8dfd-edf0ef1b58dd","species",10115,1985,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"108","vanzolinius discodactylus (boulenger, 1884)",-60.29556,-5.02608,NA,1,"d404b998-935c-47f9-b176-dce1c5edd2fe","species",3865,1966,"preservedspecimen","mcz","Vanzolinius_discodactylus"
"109","leptodactylus ocellatus",-51.88,-29.21,NA,1,"bd6c3bc1-765b-4857-b14b-c3af9a149a37","species",6865,1966,"preservedspecimen","cm","Leptodactylus_ocellatus"
"110","leptodactylus leptodactyloides (andersson, 1945)",-66.56667,-2.46667,NA,1,"c5588364-4d60-4891-a2d0-9f896ba00fd1","species",87144,1973,"preservedspecimen","mcz","Leptodactylus_leptodactyloides"
"111","cycloramphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"c63c237f-1896-4401-a7cd-bd613027a146","species",53865,1931,"preservedspecimen","mcz","Cycloramphus_neglectus"
"112","leptodactylus ocellatus",-46.83,-23.71,NA,1,"9a20a7fa-bec7-4e62-802d-e635ab809db3","species",3751,1953,"preservedspecimen","cm","Leptodactylus_ocellatus"
"113","leptodactylus ocellatus",-57.65,-19.01,NA,1,"ab01a2f8-8a06-4f69-a1df-060b69b3172e","species",5865,1954,"preservedspecimen","cm","Leptodactylus_ocellatus"
"114","leptodactylus knudseni",-61.18582,1.55,NA,NA,"a291c63b-2bd1-4a68-af80-e3c20c62dabf","species",7875,1993,"preservedspecimen","omnh","Leptodactylus_knudseni"
"115","leptodactylus ocellatus",-40.6,-19.91667,NA,NA,"a5d6f311-924b-4715-a40b-bf7d650c447e","species",11115,1942,"preservedspecimen","cas","Leptodactylus_ocellatus"
"116","physalaemus fuscomaculatus",-46.724075,-23.56346,NA,1,"60598066-3a9d-4c4a-a4ca-b7fdfbcd7812","species",3036,1961,"preservedspecimen","ummz","Physalaemus_fuscomaculatus"
"117","leptodactylus latrans",-48.45637,-1.45,NA,NA,"65411820-f0bf-4b3c-b827-f0d364181e81","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"118","leptodactylus ocellatus (linnaeus, 1758)",-62.08333,-3.83333,NA,1,"03be309e-40c1-4bf7-b727-ea0e8867ec4b","species",6365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"119","leptodactylus latrans",-48.45637,-1.45,NA,NA,"7e085a42-b0fa-4534-b296-447214594641","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"120","adenomera andreae",-52.05,0.98333,NA,1,"6da1f8b3-c16b-47ed-909c-c743c8f8930f","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"121","leptodactylus ocellatus",-58.44693056,-3.144305556,NA,NA,"5ba3fbcd-fe70-492c-bdf9-49d0db8129cd","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
"122","eupsophus miliaris",-44.556054,-22.496842,NA,1,"13a4650f-7442-4656-9226-6bfbaa2160fb","species",3036,NA,"preservedspecimen","ummz","Eupsophus_miliaris"
"123","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"0c61d397-4c63-466a-aa30-f3eb42670f62","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"124","leptodactylus latrans",-48.45637,-1.45,NA,NA,"114c45dd-8446-4f2e-a8a7-4a630d6e8324","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"125","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"4a971471-e661-423f-88a3-949b8af205e6","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"126","leptodactylus latrans",-48.45637,-1.45,NA,NA,"4b6ffc44-9fc8-4456-900b-80a397256ab1","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"127","leptodactylus wagneri",-72.670278,-7.631667,NA,NA,"3185f0e1-f037-4563-99a0-55fde0795c83","species",NA,1981,"preservedspecimen","unicamp","Leptodactylus_wagneri"
"128","adenomera marmorata",-45.53373,-23.50667,NA,1,"0758d0c1-b514-4b36-9988-d7a52c952892","species",2475,1981,"preservedspecimen","mvz","Adenomera_marmorata"
"129","adenomera hylaedactyla",-59.59361,-4.38889,NA,NA,"c96fd4d8-8ca4-4980-be07-55694dcaf75c","species",3865,1943,"preservedspecimen","cas","Adenomera_hylaedactyla"
"130","adenomera andreae",-52.05,0.98333,NA,1,"c52dc62d-f633-4ed1-9f29-e94f3896dbc3","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"131","leptodactylus ocellatus",-51.2,-30.03,NA,1,"d0277387-9d4b-4feb-812b-f1340769f4a3","species",10115,1965,"preservedspecimen","cm","Leptodactylus_ocellatus"
"132","leptodactylus latinasus",-51.2,-30.03333,NA,NA,"d13c487e-da7d-47d0-a8f8-dd38d70bdd28","species",10115,1956,"preservedspecimen","cas","Leptodactylus_latinasus"
"133","leptodactylus ocellatus (linnaeus, 1758)",-55,-10,NA,1,"e2ee3fc7-c981-49c6-b588-6ef2b2175e36","species",301,NA,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"134","leptodactylus pentadactylus",-44.997652,-12.146051,NA,1,"e36ec044-abe5-4b85-b5d3-de740861ef9c","species",10295,1942,"preservedspecimen","ummz","Leptodactylus_pentadactylus"
"135","leptodactylus gracilis",-44.75,-22.56,NA,1,"91f08069-1bbc-44d6-9193-b10ecd8d3671","species",28615,1960,"preservedspecimen","cm","Leptodactylus_gracilis"
"136","leptodactylus ocellatus",-40.6,-19.91667,NA,NA,"51d2d150-2141-4aea-b59c-13a3f621eed9","species",11115,1942,"preservedspecimen","cas","Leptodactylus_ocellatus"
"137","leptodactylus ocellatus",-49.25,-25.416667,NA,1,"81dfc026-df9b-48fa-8a61-ff1d394a74da","species",29247,1941,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"138","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"7e42f89f-d171-4708-93a5-587c3cac92e2","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"139","leptodactylus podicipinus",-63.9,-8.76667,NA,NA,"2a4847c3-13c0-498e-9250-6519aad3030d","species",NA,1962,"preservedspecimen","ku","Leptodactylus_podicipinus"
"140","cyclorhamphus pinderi lutz, 1929",-43.11667,-22.23333,NA,1,"15f83eab-f22d-4da5-9a4e-ab3c264dfbb1","",42615,1930,"preservedspecimen","mcz","Cyclorhamphus_pinderi"
"141","cyclorhamphus eleutherodactylus brazil and vellard, 1926",-43.5,-20.38333,NA,1,"562832d4-d54b-4f60-81c8-ea7f641b148a","species",3615,1898,"preservedspecimen","mcz","Cyclorhamphus_eleutherodactylus"
"142","leptodactylus pentadactylus (laurenti, 1768)",-54.7,-2.43333,NA,1,"19db8059-aeb3-4252-801d-23e7689b9b6e","species",3865,1831,"preservedspecimen","mcz","Leptodactylus_pentadactylus"
"143","leptodactylus gracilis",-44.75,-22.56,NA,1,"2ec05df6-69d8-42e3-989e-2f65c9e9d18b","species",28615,1960,"preservedspecimen","cm","Leptodactylus_gracilis"
"144","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"303f02a0-711b-46fd-b0e7-00e309caabf6","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"145","leptodactylus ocellatus",-35.20796667,-6.091538889,NA,NA,"fcbfb9aa-76aa-46ec-8c30-f1e9e27a009d","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
